AOA,CL,CD
0,0.15,0.007
2,0.35,0.009
4,0.58,0.011
6,0.68,0.0122
8,0.82,0.015
10,1,0.02
13,1.111,0.049
15,1.188,0.065
18,1.18,0.1
20,1.11,0.145
